mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.6267234325408935,0.45418117803627966,1.3622337341308595,0.6171068997895472,10,0.8,1,2,400,"{'model__max_depth': 10, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-7115579.652134319,-4046766.7013770775,-7111369.934914991,-4020325.2525890595,-5664132.427306224,-5591634.793664334,1377888.9530389877,32,-2736170.49384148,-2882404.569183399,-2646108.1347625493,-2875932.7218463565,-2622755.212373756,-2752674.2264015083,110027.5182117581
2.2797601222991943,0.9543495877954005,0.2561653614044189,0.0707442054979818,10,sqrt,1,2,200,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-7154246.037433699,-4213681.645887272,-7217803.981820727,-4247528.8229036955,-5641547.345638886,-5694961.5667368565,1322169.8089461492,33,-4258256.24541438,-4688790.09428597,-4258056.02020207,-4614520.701847891,-4427428.201054218,-4449410.252560906,177878.42835280678
1.9393198490142822,0.5870675791245724,0.5020554065704346,0.12425802923812206,,sqrt,2,2,200,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-7111246.66307504,-4418195.424833298,-7193907.506764641,-4246512.244756939,-5601001.301122057,-5714172.628110395,1263948.0077764061,34,-5272565.248470594,-5786230.544791372,-5191825.093918079,-5816248.351807204,-5520337.700252519,-5517441.3878479535,255942.1402330729
2.154665231704712,0.16241316430957045,0.42786707878112795,0.09717392483871146,10,sqrt,1,2,400,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-7156195.191805808,-4251636.2724268185,-7257663.185667707,-4294261.40517749,-5637004.268936815,-5719352.064802927,1313223.0176948293,35,-4249563.267031037,-4732738.955919524,-4235005.965884282,-4703510.723482626,-4464617.930329328,-4477087.36852936,213143.79135299943
1.4630912780761718,0.1589083718206588,0.27516674995422363,0.03593636613718065,,sqrt,2,5,200,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-7163355.652738257,-4369182.453969831,-7202020.833942933,-4280279.107444783,-5591651.816134244,-5721297.97284601,1280127.3699354639,36,-5289218.834191295,-5767706.2051762855,-5152151.171216877,-5825725.368734714,-5558363.90473149,-5518633.096810132,262625.786839201
1.5076518535614014,0.11615103885519604,0.36735334396362307,0.037585793030982494,20,sqrt,2,5,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-7149963.942263548,-4389723.028296031,-7199726.162630436,-4307061.922212111,-5560972.973107102,-5721489.605701845,1266940.8609964699,37,-5304691.121379399,-5791681.960524287,-5164285.725112248,-5852199.604827192,-5558303.828940626,-5534232.44815675,267399.5490281471
2.960069942474365,0.16740167797429567,0.45207853317260743,0.08890150343998238,20,sqrt,2,2,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-7119757.293521966,-4378847.603095776,-7209690.689913264,-4276394.21084282,-5625800.711285126,-5722098.10173179,1270435.968825841,38,-5279626.108895162,-5780254.386050993,-5195391.843326653,-5841460.891883941,-5548443.990321271,-5529035.444095604,258696.87965212076
2.5568000793457033,0.246179239350959,0.5514091491699219,0.11625890989296146,20,sqrt,2,2,400,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-7126565.831202822,-4392539.168859867,-7214897.41704247,-4268757.683040041,-5637855.242429332,-5728123.068514907,1271834.9016849592,39,-5262944.458244797,-5773101.632065567,-5200822.292249555,-5843343.840535232,-5583556.34588713,-5532753.713796456,260687.4600216634
1.9595915794372558,0.050126538851426115,0.38458666801452634,0.10978382848195477,,sqrt,2,2,400,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-7129800.628781919,-4431428.758503469,-7204395.917156797,-4260435.640551375,-5615389.69905399,-5728290.12880951,1264303.1835328005,40,-5263828.43780124,-5774590.78095701,-5197371.204783565,-5826211.93726412,-5553940.472680161,-5523188.566697219,256669.64992041676
3.0765060901641847,1.0178803860177075,2.1754105567932127,0.8069187061702598,,sqrt,2,5,400,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-7152503.518693249,-4388254.184108231,-7222838.282584283,-4297638.012343945,-5595926.036861201,-5731432.006918183,1274518.7853587419,41,-5277124.583920531,-5755672.676276491,-5201564.634679607,-5851820.8031564625,-5565893.891241509,-5530415.31785492,255968.77168765067
4.023588418960571,1.0173311164082581,1.1532341957092285,0.19621874792593147,20,sqrt,2,5,400,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-7139945.770484712,-4402392.5978004765,-7220508.26986445,-4314076.602141959,-5591056.599738232,-5733595.968005965,1264609.2736308458,42,-5288718.364638164,-5781596.185873062,-5185582.327953965,-5879652.387358255,-5579576.020589523,-5543025.057282594,269817.4621269388
2.5019187927246094,0.2956614455893184,0.3836215496063232,0.04897455360104914,10,sqrt,1,5,400,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-7174478.142879956,-4298773.548002949,-7274929.989799588,-4304101.609370058,-5670080.9816718595,-5744472.854344883,1308240.3546084468,43,-4459937.240594221,-4951892.729293719,-4480611.13666501,-4969635.806299234,-4690480.484247199,-4710511.479419877,219751.30584404172
1.3758681297302247,0.33277287997073546,0.4118096351623535,0.1859896159224473,10,sqrt,1,5,200,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-7185431.226797222,-4362055.930303754,-7277552.160797936,-4274026.97964862,-5694481.105833648,-5758709.480676236,1303952.9577844732,44,-4460613.31080683,-4959393.23444112,-4455214.440840112,-4904619.93559079,-4670554.748501473,-4690079.134036065,212957.75636474512
1.097880983352661,0.08251284563390207,0.34642806053161623,0.07277203302841312,10,sqrt,2,2,200,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-7287316.873258705,-4388739.624855724,-7325302.015731124,-4344787.043464442,-5685173.910064685,-5806263.8934749365,1316126.678182409,45,-5466346.727376317,-6012870.9241883345,-5352894.524629404,-5974321.53895107,-5755486.581091417,-5712384.0592473075,264774.8178505505
2.2155569076538084,0.1830453022973008,0.34290518760681155,0.10285363888130232,10,sqrt,2,2,400,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-7271440.081702459,-4412324.928567827,-7347073.249551075,-4397824.737519513,-5691880.39875298,-5824108.679218771,1300699.2604141063,46,-5438331.550056618,-5985629.544476235,-5363022.722677219,-6029033.394487288,-5796405.498919448,-5722484.542123361,275186.3083594812
1.113119649887085,0.07165483630562117,0.26463799476623534,0.08121864765046458,10,sqrt,2,5,200,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-7300303.387997826,-4470770.380979187,-7354275.4372010715,-4385723.643661023,-5687416.579345317,-5839697.885836884,1299115.6067735252,47,-5442694.628960645,-6026915.767791029,-5348923.244182288,-6001337.14979527,-5803172.25353005,-5724608.608851856,280982.39634136343
2.3386112213134767,0.12003225137857809,0.5116026878356934,0.12840477693611238,10,sqrt,2,5,400,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-7271560.065773471,-4465949.008656976,-7351395.532828505,-4411341.247074051,-5702677.86280505,-5840584.743427611,1286982.3850724136,48,-5430692.565016,-6021909.962533881,-5360156.804981727,-6043178.11613378,-5801769.371203604,-5731541.363973798,288027.7249912318
