tieude,dientich,giavnd,vitri,phanloai,sophong,area_m2,price_vnd,standardized_location,property_type_clean,price_per_m2,price_group,area_group,has_studio,has_balcony,has_mezzanine,has_furniture,has_new,has_window,has_elevator
Phòng ban công rộng trung tâm Q5,25 m,5800000,Quận 5,PhongTro,1,25.0,5800000.0,Quận 5,Phòng trọ,232000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,True,False,False,False,False,False
Phòng riêng máy lạnh gần ĐH Sư Phạm,12 m,3000000,Quận 5,PhongTro,1,12.0,3000000.0,Quận 5,Phòng trọ,250000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Cho thuê KTX Quận 5,100 m,1400000,Quận 5,PhongTro,1,100.0,1400000.0,Quận 5,Phòng trọ,14000.0,Thấp (<4 triệu),Lớn (>50m²),False,False,False,False,False,False,False
Phòng full tiện nghi Trần Hưng Đạo,30 m,5700000,Quận 5,PhongTro,1,30.0,5700000.0,Quận 5,Phòng trọ,190000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng studio CHDV Nguyễn Trãi,35 m,8000000,Quận 5,PhongTro,1,35.0,8000000.0,Quận 5,Phòng trọ,228571.42857142858,Trung bình (4-8.5 triệu),Vừa (25-50m²),True,False,False,False,False,False,False
Phòng cao cấp gần ĐH Khoa Học Tự Nhiên,25 m,5000000,Quận 5,PhongTro,1,25.0,5000000.0,Quận 5,Phòng trọ,200000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng full nội thất ban công Quận 5,35 m,6500000,Quận 5,PhongTro,1,35.0,6500000.0,Quận 5,Phòng trọ,185714.2857142857,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,True,False,True,False,False,False
Phòng 30m2 có gác gần trường đại học,30 m,4000000,Quận 5,PhongTro,1,30.0,4000000.0,Quận 5,Phòng trọ,133333.33333333334,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Ký túc xá sleepbox Quận 5,30 m,1500000,Quận 5,PhongTro,1,30.0,1500000.0,Quận 5,Phòng trọ,50000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Căn hộ 40m2 full nội thất trung tâm Quận 5,40 m,6000000,Quận 5,PhongTro,1,40.0,6000000.0,Quận 5,Phòng trọ,150000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Nhà trọ Gia Phú,19 m,1900000,Quận 6,PhongTro,1,19.0,1900000.0,Quận 6,Phòng trọ,100000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ giá rẻ Bình Phú,35 m,3800000,Quận 6,PhongTro,1,35.0,3800000.0,Quận 6,Phòng trọ,108571.42857142857,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Phạm Văn Chí đầy đủ tiện nghi,30 m,4400000,Quận 6,PhongTro,1,30.0,4400000.0,Quận 6,Phòng trọ,146666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
